bomb,폭탄; 폭격하다
grief,"슬픔, 비탄"
sparrow,참새
deaf,"청각 장애가 있는, 귀가 먹은"
contact,"접촉, 연락; 접촉하다, 연락하다"
muscle,근육
male,"남자의, 수컷; 남자, 수컷"
female,"여성의, 암컷의; 여성, 암컷"
dawn,"새벽, 동틀 녘; 날이 새다"
complain,"불평하다, 항의하다"
region,"지역, 지방, 영역"
fix,"고정시키다, 수리하다, 정하다"
hasty,"서두르는, 성급한"
crop,"농작물, 수확물"
amazing,"놀랄 만한, 굉장한"
amount,"양, 총계; 총계가 ~에 이르다"
peak,"꼭대기, 봉우리, 최고점"
depend,"의존하다, 믿다"
independence,"독립, 자주"
accept,"받아들이다, 수락하다"
order,"명령; 명령하다, 주문하다 순서, 질서"
persuade,"설득하다, 설득하여~시키다"
departure,"출발, 떠남"
force,"힘, 무력; 억지로(강제로) ~을 시키다"
opportunity,기회
approach,"접근하다, 가까이 다가가다; 접근"
cancel,"취소하다, 중지하다"
destruction,파괴
fuel,연료; 연료를 공금하다
contaminate,"오염시키다, 더럽히다"
fill,"채우다, 가득차게 하다"
sore,"아픈, 쓰린"
soil,"흙, 땅"
reap,"수확하다, 거둬들이다"
leap,"껑충 뛰다, 도역하다; 뜀, 도약"
locate,"~에 위치시키다, 위치를 찾아내다, ~에 두다"
oppose,"반대하다, 대항하다"
calm,"고요한, 조용한;(분노. 등을) 진정시키다"
dot,점; 점을 찍다
hawk,매
goat,염소
desire,"바라다, 열망하다; 욕구, 욕망"
temperature,"온도, 기온, 체온"
pulse,"맥박, 파동, 진동"
matter,"문제, 중요하다"
global,"지구의, 세계적인"
bruise,멍; 멍들게 하다
merchandise,"상품, 제품"
merchant,상인
volunteer,"지원자, 자원봉사자; 자진하여 ~하다"
disease,"병, 질병"
serious,심각한
aid,돕다 ; 도움
drop,"떨어지다, 떨어뜨리다; 하락, 한 방울"
celebrate,"축하하다, 기념하다"
warn,경고하다
vehicle,"차량, (운송) 수단"
tradition,전통
injure,"상처를 입히다, 해를 주다"
district,"구역, 지역"
envious,"부러워하는, 시기하는"
provide,"주다, 제공하다"
pity,"불쌍히 여김, 애석한 일; 불쌍히 여기다"
current,"현재의, 유행하는; 경향 흐름, 해류, 전류"
guilty,"유죄의, 죄책감이 드는"
proper,"적당한, 적절한"
nowadays,"오늘날, 요즘"
concerned,"걱정스러운 관계하고 있는, 관련 있는"
attach,"붙이다, 첨부하다"
detach,"떼어내다, 분리하다"
measure,"재다, 측정하다; 측정, 치수 / 조치"
fairy,요정; 요정의
leak,(기체·액체·비밀 등의)누출;(물·공기 등이)새다
slip,미끄러지다; 미끄러짐
pollution,오염
wipe,"닦다, 씻다"
scholar,학자
view,"봄, 경치; 바라보다 / 견해; ~라고 생각하다"
military,"군의, 군대의"
aware,(~을) 알고 있는
crosswalk,횡단보도
pot,"항아리, 냄비, 통"
conduct,"~을 하다, 행동하다/지도·지위하다/"
,(열·전기)등을 전도하다
agriculture,"농업, 농사"
reputation,평판
stand,"일어서다 / 견디다, 참다"
murder,살인 ; 살해하다
participate,"(행사·모임)등에 참여하다, 참석하다"
exactly,"정확하게, 조금도 틀림없이"
save,구하다/저축하다
fame,"명성, 평판"
claw,발톱
severe,"엄격한, 가혹한, 심각한"
seek,"찾다, 구하다"
dramatic,"극적인, 연극의"
divide,"나누다, 쪼개다"
thieve,훔치다
altogether,"다 같이, 다 합하여, 전적으로"
organization,"조직, 단체"
argue,"논쟁하다, 주장하다"
spoil,망치다
medicine,"약, 의학"
medical,"의학의, 의료의"
ethics,"윤리학, 윤리"
ethnic,민족의
tidy,"단정한, 깔끔한"
threat,"위협, 협박"
closely,"바싹, 가까이 / 면밀히, 주의 깊게"
cancer,암
innocent,"아무 잘못이(죄)없는, 순진한"
responsibility,"책임, 의무"
fit,(치수·모양 등이) 딱 맞다; 적합한 / 건강이 좋은
mindless,"아무 생각이 없는, 염두에 두지 않는"
share,"몫; 분배하다, 공유하다"
badly,"나쁘게/몹시, 심하게"
surround,"둘러싸다, 포위하다"
store,"가게 / 저장, 저장하다"
join,"결합하다, 참여하다, 가입하다"
treat,"대접하다, 다루다/치료하다"
fashionable,"유행하는, 유행을 따르는"
search,"찾다, 수색하다; 수색"
heal,"고치다, 낫게 하다"
tend,~하는 경향이 있다
tendency,"경향, 성향"
thoroughly,"완전히, 철저하게"
relate,"관계시키다, 결부시키다"
deny,"부인하다, 부정하다, 거절하다"
gain,"얻다, 벌다;이익"
determine,"결심하다, 결정하다"
mental,"정신의, 마음의"
witness,"목격하다; 목격자, 증거, 증언"
cause,"원인, 이유; 일으키다,~로 하여금 ~하게하다"
chat,잡담하다; 잡담
admit,"인정하다, (입학·입국 등을)허가하다"
faith,신념
scenery,"풍경, 경치"
desert,사막; 저버리다
dessert,"디저트, 후식"
gravity,"중력, 인력"
local,"지역의, 지방의"
harvest,"수확, 추수"
connect,"연결하다, 접속하다, 연결되다"
lengthen,"길어지다, 늘이다, 길게하다"
pill,알약
rapid,"빠른, 급속한"
resemblance,"유사, 닮은"
reduce,"줄이다, 줄다"
contain,"포함하다, ~이 들어있다"
method,"방법, 수단"
permit,"허락하다, 허가하다"
appoint,"지명하다, 임명하다 / "
,"(시간·장소를)정하다, 약속하다"
elegance,"우아, 품위"
Mars,화성
greenhouse,"온실, 비닐하우스"
delete,"삭제하다, 지우다"
concept,개념
pirate,해적
habitual,"습관적인, 상습적인"
further,"더 멀리, 그 이상의, 더욱"
quality,"질, 품질, 특성"
quantity,"양, 수량"
ignore,무시하다
long,"긴, 오랜 / 간절히 바라다, 열망하다(for)"
heavily,"몹시, 심하게"
emperor,황제
nectar,"과즙(음료), 꿀"
fireplace,벽난로
equip,장비를 갖추다
industrial,산업의
industrious,근면한
industry,산업 / 근면
detail,세부사항; 상세히 말하다
voyage,항해; 항해하다
recognize,"알아차리다, 인식하다, 깨닫다"
nationality,국적
despair,"절망, 절망하다"
warlike,"전쟁의, 호전적인"
aerial,"공기의, 공중의, 항공기에 의한"
publish,"출판하다, 널리 알리다"
helpless,"무기력한, 의지할 곳 없는"
modern,"현대의, 근대의"
host,"(연회 등의) 주인, 주최다; 주최하다 / (TV·라디오 프로의)진행자; 진행하다"
generous,"관대한, 너그러운"
separate,"분리하다다, 갈라놓다"
recently,"최근에, 요즘에"
continent,"대륙, 육지"
differ,다르다
mention,"언급하다, 말하다"
drug,"약, 마약"
grain,"곡물, (쌀·보리 등의) 낟알"
increase,"증가하다, 증가시키다; 증가"
kindergarten,유치원
sweat,땀; 땀을 흘리다
purpose,"목적, 의도"
consider,"숙고하다, 고려하다"
period,"기간, 시대, 주기"
ax,도끼
drastic,"과감한, 철저한"
main,"주요한, 주된"
destination,"목적지, 목표 대상"
destiny,"운명, 숙명"
steal,훔치다
rob,"강탈하다, 강도질하다"
robbery,"강도질, 강탈 약탈"
launch,"(사업 등을) 착수하다, 시작하다/"
,"(로켓을)쏘아 올리다, (배를) 띄우다"
contend,"다투다, 싸우다, 논쟁하다, 주장하다"
freezing,몹시 추운; 냉동
handle,"손잡이 / 다루다, 조종하다"
record,"기록, 음반; 기록적인; 기록하다"
chase,"쫓다, 추적하다"
tongue,"혀 / 말, 언어"
urgent,"긴급한, 절박한"
anxious,"걱정하는, 열망하는"
curriculum,교과과정
species,"(분류상의)종, 종류"
familiar,"친한, 친근한, 잘 알고 있는"
planet,행성
fault,"잘못, 결함, 결점"
commercial,"상업의, 무역의"
bucket,물통
arrange,"가지런히 하다, 배열하다/"
,예정을 세우다
hold,"붙들다, 유지하다"
,"열다, 개최하다"
belong,(~에) 속하다
scream,"소리치다, 비명을 지르다"
operate,"수술하다/ 운전하다/경영하다, 관리하다"
chemistry,화학
blossom,꽃; 꽃을 피우다
drown,"물에 빠져 죽게 하다, 익사하다"
diet,"음식, 식이요법"
punish,"처벌하다, 벌하다"
appeal,"애원하다, 간청하다/"
,"호소하다, 마음을 끌다"
weigh,"무게가 나가다, 무게를 재다, "
,무게를 두다(중요시 하다)
frustrate,(계획·의도 등을) 좌절시키다
fundamental,"기본적인, 근본적인, 필수의, 중요한"
navigation,"(배·항공기의)항해, 운항"
physical,"육체의, 물질적인, 물리학의"
physics,물리학
physicist,물리학자
physician,내과의사
domestic,"국내의, 집안의"
chill,"냉기, 한기; 쌀쌀한; 차갑게 하다"
clap,"찰싹; (손뼉을)치다, 찰싹 때리다"
beverage,"음료, 마실 것"
leave,떠나다; 휴가/남겨두다
FALSE,"잘못된, 틀린, 거짓의"
burst,"폭발하다, 파멸하다"
bone,"뼈, (생선)가시"
climb,"오르다, 기어우리다"
risk,위험; 위태롭게 하다
profit,"이익, 이득"
festive,"축제의, 즐거운"
sweep,"청소하다, 쓸다, 휩쓸다"
sweeping,"광범위한, 전면적인"
seldom,거의 ~않다
contrary,반대의; 정반대
construct,"건설하다, 세우다"
disgust,"혐오감, 역겨움; 역겹게 하다"
rather,"꽤, 다소, 오히려"
advertise,광고하다
delay,"연기하다;연기, 지연"
edge,"모서리, 가장자리"
civil,"시민의, 민간의"
civilization,"문명, 개화"
terrible,"끔찍한, 엄청난"
sculpture,"조각, 조각품"
senior,"손위의; 연장자, 선배"
observation,관찰
observance,준수
observe,관찰하다/준수하다
immediate,"즉시의, 당장의"
assist,돕다
education,교육
nervous,"신경(성)의, 불안해 하는"
typhoon,태풍
forgive,용서하다
content,"내용물, 차례, 목록 / 만족감"
zoology,동물학
deal,"다루다, 처리하다, 거래하다; 거래 /다량"
consume,"소비하다, 다 써버리다"
race,"경주 인종, 민족"
bud,"싹, 봉오리"
update,갱신; 최신의 것으로 하다
logger,벌목꾼
loosen,"풀다, 느슨하게 하다"
dish,"접시 / 요리, 음식"
avoid,"피하다, 회피하다"
fruitless,"결실 없는, 무식한"
greet,"인사하다, 환영하다"
layout,"(책·공원·건물 등의) 배치, 배열"
anniversary,(해마다의)기념일
explanation,설명
judge,"판결하다, 판단하다; 판사, 심판"
delight,"기쁨, 즐거움"
emphasize,강조하다
multiplex,"복합 상영관, 멀티플렉스"
figure,"숫자; 계산하다/인물, 형태, 모양"
clue,"실마리, 단서"
praise,"칭찬, 칭찬하다"
guard,"지키다, 보호하다; 경비, 경호인"
greed,"욕심, 탐욕"
warrant,"보증, 증명서"
,(체포·수색등을보증하는)영장; 보증하다
efficient,"효율적인, 능률적인"
affect,영향을 미치다
effect,"효과, 영향"
affection,애정
effective,"효과적인, 효력 있는"
conceited,"자부심이 강한, 자만하는"
ordinary,"보통의, 평범한"
lessen,"줄이다, 줄다"
canyon,"깊은 협곡, 골짜기"
quit,"그만두다, 중지하다"
pretend,"~인 체하다, 가장하다"
author,"저자, 작가"
laboratory,"실험실, 연구소"
form,"형태,모양;형성하다 / 서식, 기입용지"
route,"길, 일정한; 노선"
vote,투표하다; 투표
deceive,속이다
conceive,"생각하다, 상상하다"
perceive,"지각하다, 인지하다"
tickle,간지럽게 하다
free,"자유로운 / ~이 없는, 무료의"
carefree,근심(걱정)이 없는
claim,"(당연한 권리로서)요기하다, 청구하다, 주장하다"
structure,"구조, 구조물, 건축물"
theory,이론
detect,"발견하다, 탐지하다"
individual,"개인의, 개개의; 개인"
victim,"희생자, 피해자"
personality,"개성, 성격"
spill,"엎지르다, 흘리다, 엎지름, 유출"
meal,"식사, 끼니"
noble,"고귀한, 귀족의; 귀족"
ignoble,"비열한, 비천한"
fume,연기; 연기가 나다
perfume,향수; 향기를 풍기다
abroad,"해외의, 해외로"
abnormal,"비정상의, 이상한"
abuse,"남용하다, 학대하다, 욕하다, 남용, 학대, 욕설"
administer,"경영하다, 관리하다"
accompany,"동행하다, 동반하다, 반주하다"
accustom,"익숙하게 하다, 습관 들이다"
affirm,단언하다
assign,"할당하다, 선임하다, 지정하다"
assure,"장담하다, 보증하다"
antique,"골동품인, 고풍의, 골동품"
antedate,"날짜를 앞으로 당기다, ~보다 먼저 일어나다"
anterior,"이전의, 앞의"
anticipate,"기대하다, 예상하다"
cooperation,"협력, 협동"
combat,"전투, 싸움; 싸우다"
collaborate,"공동으로 하다, 협력하다"
compare,"비교하다, 비유하다"
communism,공산주의
comply,"따르다, 순응하다"
concentration,"집중, 집결"
compose,"구성하다, 조직하다, 작문하다, 작곡하다"
confuse,"혼란시키다, 혼동하다"
community,"공동체, 공동 사회"
consult,상담하다
context,"문맥, 배경, 전후 사정"
accomplish,"이루다, 성취하다"
companion,"친구, 동료"
committee,위원회
degrade,떨어뜨리다
department,"부서 매장, 학과"
depict,"묘사하다, 서술하다"
devote,"헌신하다, (노력을)쏟다"
descend,"내려가다, 하강하다"
disgrace,"불명예, 치욕"
disorder,"무질서, 혼란"
disabled,"불구가 된, 무능력해진"
disrespectful,"실례되는, 무례한, 경멸하는"
disinterested,"사심 없는, 무관심한"
disharmony,"부조화, 불협화음"
discontinue,중지하다
discard,"버리다, 폐기하다"
eco-friendly,친환경적인
ecology,"생태학, 생태"
ecosystem,생태계
employ,고용하다
entire,"완전한, 전체의"
enroll,"등록하다, 입학시키다, 기입하다, 봉투"
envelope,봉투
encyclopedia,백과사전
empower,"권력을 주다, 능력을 주다"
enable,~할 수 있게 하다
ensure,"보장하다, 반드시 ~하게 하다"
enforce,"강요하다, (법률 등을) 집행하다"
evaluate,평가하다
evade,"피하다, 회피하다"
exterior,"외부의, 외부"
explorer,탐험가
extent,"범위, 정도, 넓이"
expand,"확대되다, 확대시키다, 팽창시키다"
exhibition,"전시, 전시회"
explode,폭발시키다
extreme,"극도의, 최고점의, 지나친"
escape,"달아나다; 탈출, 도망"
imply,"암시하다, 의미하다"
improve,"향상시키다, 나아지다"
impact,"강력한 영향, 충격, 영향을 주다, 충돌하다"
impure,순수하지 않은
instruct,"가르치다, 지시하다"
intake,"섭취, 흡입"
interior,"내부의, 안쪽의"
instrument,"기계, 도구, 악기"
investment,투자
invade,"침략하다, 침입하다"
income,"수입, 소득"
install,"(장비,장치 등을) 설치하다"
inordinate,"과도한, 지나친"
insert,"삽입하다, 끼워 넣다"
intimate,"친밀한, 친숙한"
insult,"모욕하다, 모욕"
infection,"전염, 감염"
involve,"포함하다, 말려들게 하다, 연루시키다"
indeed,"참으로, 정말로"
inner,"안쪽의, 내적인"
ingredient,"성분, 재료"
incline,"마음이 내키게 하다, ~의 경향이 생기다"
insect,"곤충, 벌레"
intention,"의도, 목적"
inhabit,"~에 살다, 거주하다"
indifferent,"무관심한, 대수롭지 않은"
incurable,치료할 수 없는
insist,"주장하다, 고집하다"
interfere,"방해하다, 간섭하다"
interpret,"해석하다, 통역하다"
interaction,상호작용
intermission,중간 휴식 시간
intersect,"가로지르다, 교차하다"
misunderstand,오해하다
misdeed,잘못된 행위
misfire,"불발되다, 빗나가다; 불발"
misspell,철자가 틀리다
misleading,"오해시키는, 오도하는"
misplace,"잘못놓다, 잘못 두다"
mischance,불운
misfortune,"불행, 불운"
mistrust,의심하다 불신하다; 불신
multiply,"증가시키다, 번식하다, 곱하다"
multitude,"다수, 군중"
multiple,"복합적인, 다수의"
overhead,머리 위의; 머리 위에
overlook,"못 보고 지나치다, 간과하다, 내려다보다"
overwhelm,"압도하다, ~의 기를 꺾다"
overcome,"극복하다, 이기다"
overtake,"~을 따라잡다, 앞지르다, (폭풍우, 불행 등이)덮치다"
overseas,해외의; 해외로
overall,전체적으로; 전체적인
prepare,준비하다
prefer,오히려 ~을 더 좋아하다
present,"현재의, 참석한, 선물, 증정하다, 제출하다, 상연하다"
prevent,"막다, 방해하다, 예방하다"
previous,"이전의, 앞의"
preschool,"취학 전의, 유치원"
renew,"갱신하다, 재개하다, 새로 교체하다"
rebuild,"재건하다, 다시 짓다"
restore,"회복시키다, 복구하다"
refresh,"상쾌하게 하다, 새롭게 하다"
relieve,"구제하다,(고통, 부담등을) 덜어주다"
research,"(학수)연구, 조사, 연구하다, 조사하다"
remarkable,"주목할 만한, 두드러진, 놀랄만한"
remark,"말, 논평; 말하다, 논평하다"
recycle,재활용하다
repair,"고치다, 수리(수선)하다"
review,"재검토, 논평, 복습; 재검토하다, 복습하다"
reflect,"반사하다, 반영하다, 숙고하다"
reassure,안심시키다
resource,자원
reaction,"반응, 반작용"
refund,"환불, 환불하다"
resign,"사직하다, 사임하다"
retire,은퇴하다
republic,공화국
reply,"응답, 대답, 대답하다, 답신하다"
reject,"거절하다, 거부하다"
rely,"의지하다, 믿다"
represent,"대표하다, 나타내다"
reward,"보상, 보상하다, 보답하다"
reserve,"예약하다, 따로 남겨두다, 보존하다, 비축하다"
remove,"치우다, 제거하다"
restrict,"제한하다, 금지하다"
reverse,"역, 반대; 반대의; 뒤바꾸다"
replace,"~에 대신하다, 대체하다, 제자리에 놓다"
referee,"심판원, 심판하다"
subside,"가라앉다, 진정되다"
suburban,교외의
substance,"물질, 본질, 실체, 요지"
submarine,"잠수함, 해저의"
substitution,"대리, 대리인, 대체"
uncertain,불확실한
uncover,"알아내다, 적발하다, 폭로, 덮개를 벗기다"
unlock,"열다, 자물쇠를 열다"
unlikely,"있음직하지 않은, ~일 것 같지 않은"
unchangeable,변경할(바꿀) 수 없는
undertake,"떠맡다, 착수하다"
undergo,"(검열,수술 등을) 받다, 겪다"
undergraduate,대학생
uniform,"유니폼, 제복, 한결같은, 동일한"
unify,"통합하다, 통일하다"
unique,"유일한, 독특하다"
union,"연합, 조합, 노동조합, 동맹"
reunion,"재회, 동창회"
unite,"연합하다, 통합시키다"
united,"연합한, 단결한"
unity,"통일, 통합"
upward,위로; 위로 향한
downward,"아래쪽으로, 아래로 향한"
backward,"뒤로, 뒤쪽으로"
inward,"마음속으로, 안쪽으로 향한, 안으로"
toward,"~쪽으로, ~을 향하여"
outward,밖으로 향하는; 바깥쪽의
forward,"앞으로, 전방으로"
semicircle,반원
semifinal,준결승
ultraviolet,"자외선의, 자외선"
microscope,현미경
psychology,심리학
counterclockwise,시계 반대 방향으로
centennial,"100년 마다의, 100년 간의"
ancient,"옛날의, 고대의"
ancestor,"선조, 조상"
advance,"전진하다, 증진시키다, 전진"
enhance,"(질, 능력 등을) 높이다, 향상시키다"
astronaut,우주비행사
astronomy,천문학
astrology,"점성술, 점성학"
disaster,"재앙, 재난"
audience,"청중, 관중"
auditorium,"강당, 방청석"
audible,"들을 수 있는, 잘 들리는"
inaudible,"알아들을 수 없는, 들리지 않는"
auditory,청각의
biology,생물학
biochemistry,생화학
antibiotic,"항생제, 항생물질"
conclude,"끝내다, 결론을 내리다"
include,"포함하다, 포함시키다"
exclude,"제외시키다, 배제하다"
disclose,"드러내다, 폭로하다"
enclose,"에워싸다, 동봉하다"
infinite,"무한한, 끝없는"
finale,"대단원, 피날레"
definite,"한정된, 명확한, 확실한"
confine,"한정하다, 제한하다, 감금하다"
influence,"영향, 영향을 미치다"
fluid,"유동체, 유동성의"
influenza,독감
fluent,유창한
gene,유전자
generate,"발생시키다, 일으키다"
genetics,유전학
gender,"성, 성별"
transgender,성전환을 한 사람
degenerate,"퇴보하다, 악화되다, 퇴보한, 타락한"
biography,"전기, 일대기"
autograph,"서명, 사인, 사인하다"
autobiography,자서전
telegraph,전보
paragraph,"절, 단락"
diagram,"도표, 도형"
collect,"모으다, 수집하다, 요금을 수신자가 부담하는"
recollect,기억해내다
election,"선거, 당선"
select,"고르다, 선택하다, 선발하다"
legitimate,"합법적인, 정당한"
legal,"법률에 관한, 합법의"
illegal,불법적인
legislation,"입법, 법률제정"
literacy,읽고 쓸 줄 아는 능력
literal,글자 그대로의
literary,문학의
demand,"요구하다, 요구, 수요"
command,"명령하다, 지휘하다, 명령"
mandatory,"의무적인, 강제적인, 명령의"
manual,"손의, 손으로 하는, 소책자, 안내서"
manage,"경영하다, 관리하다"
manufacture,"제조, 제품, 제조하다"
diminish,"감소하다, 감소시키다"
minimum,최소한도
minute,"분, 미세한, 아주 작은"
transmit,"보내다, 전송하다"
emit,"(소리,빛,열 등을) 내다, 발산하다"
dismiss,"해고하다, 해산시키다, 묵살하다"
omit,"생략하다, ~을 빠뜨리다, 빼다"
submit,"제출하다, 항복하다, 굴복하다"
compassion,"연민, 동정"
sympathy,"동정, 공감"
passion,열정
antipathy,반감
porter,"짐꾼, 운반기"
export,"수출하다, 수출"
import,"수입하다, 수입"
transport,"운송하다, 수송하다, 운송, 수송"
support,"지지하다, 지원하다"
portable,"휴대할 수 있는, 휴대용의"
potable,"마시기에 적합한, 휴대용의"
press,"내리 누르다, 압박하다, 신문, 잡지, 보도 기자"
pressure,"압력, 압박"
depress,"우울하게 만들다, 부진하게 하다"
compress,"압축하다, 꾹 누르다"
express,"표현하다, 나타내다, 급행의, 속달의"
oppress,"억압하다, 탄압하다"
suppress,"진압하다, 억누르다"
prime,"주된, 주요한, 최고의"
primitive,"원시의, 원시 사회의"
primate,영장류
principal,"주요한, 제일의, 우두머리, 교장"
principle,"원리, 원칙, 주의"
request,"요청, 요구, 요청하다, 요구하다"
acquire,"얻다, 획득하다"
inquire,질문하다
require,"요구하다, 필요로 하다"
correct,"정정하다, 바로잡다; 올바른"
rectangle,직사각형
direct,"똑바른, 직접적인, 지시하다, 지도하다, ~에게 길을 가리키다"
direction,"방향, 지시"
erect,"직립의, 똑바로 선, 똑바로 세우다, 건립하다"
consent,"동의하다, 허락하다, 동의"
resent,분개하다
sensible,"분별할 수 있는, 분별 있는, 현명한"
sensitive,"민감한, 섬세한"
sensation,"감각, 느낌, 센세이션, 대사건, 돌풍"
sentiment,"감정, 정사"
simulate,"가장하다, 모의 실험하다"
similar,"같은, 유사한"
simultaneous,"동시에 일어나는, 동시의"
exist,"존재하다, 생존하다"
resist,"저항하다, 반대하다"
consist,"구성되다, 일치하다"
prospect,"가망, 예상, 경치"
spectacle,"광경, 구경거리"
specific,"구체적인, 명확한, 독특한"
perspective,"관점, 시각, 원근법"
inspect,"점검하다, 조사하다"
aspect,"국면, 측면"
circumstance,"환경, 상황"
estate,"재산, 부동산"
establish,"설립히다, ~을 확립하다"
statue,"동상, 조각상"
status,"지위, 상황"
stable,"안정적인, 견고한"
constant,"불변의, 끊임없는"
tempo,"속도, 박자, 템포"
contemporary,"현대의, 동시대의"
temporary,"일시적인, 임시의"
advocate,"옹호하다, 지지하다, 옹호자, 지지자"
vocal,"목소리의, 성악의"
voice,"목소리, 음성"
vocabulary,"어휘, 단어집"
flee ,"달아나다, 도망치다"
orchard,과수원
tease,"집적거리다, 괴롭히다"
territory,"영토, 영역, 지역"
acid,"신, 산성의; 산, 신 것"
yield,"생산하다, 초래하다, 양보하다"
punctual,시간을 엄수하는
myth,"신화, (근거없는) 이야기"
peculiar,"기묘한, 독특한"
queer,"기묘한, 괴상한"
naughty,"장난꾸러기의, 버릇없는"
avalanche,"눈사태, 산사태, 쇄도"
fertile,"비옥한, 다산의"
illusion,"환영, 망상, 착각"
skeleton,"해골, 뼈대"
modify,"수정하다, 변경하다"
carve,"새기다, 조각하다"
miser,구두쇠
strategy,"전략, 전술"
riddle,수수께끼
realm,"왕국, 범위, 영역"
pile,쌓다; 쌓아올린 더미
paw,(동물의) 발
mummy,미라
legacy,유산